OBJECTID,NAME,TYPE_,NodeYCoordinate,NodeXCoordinate,NodeWobbeNumber,NodeSymbolName,NodeTemperature,NodeSpecificGravity,NodeHeatContent,NodeCO2,NodeStatus,NodeResultWaterDropout,NodeResultWaterContent,NodeViscosity,NodeResultTemperature,NodeResultSupplyGasSpecificGravity,NodeResultSupplyGasHigherHeatingValue,NodeResultSupplyGasCO2,NodeSuperHeat,NodeSubsystemID,NodeSpecificHeatConstantVolume,NodeSpecificHeatConstantPressure,NodeResultSpecificGravity,NodeProrateNewFlow,NodeProrateFactor,NodeProrateDeltaFlow,NodePrimaryPressure,NodeResultPressure,NodeEstateDesignPointFlow,NodeMolecularWeight,NodeMinimumPressureTime,NodeMinimumPressureOverTime,NodeMaximumPressureTime,NodeMaximumPressureOverTime,NodeMaximumAllowableOperatingPressure,NodeLowerHeatingValue,NodeJTCoefficient,NodeIsentopicTemperatureRiseExponent,NodeIsentopicExponent,NodeResultIsHydrateForming,NodeIntegratedFlow,NodeResultHydrateTemperature,NodeHigherHeatingValue,NodeEstateDesignFullyDiverseFlow,NodeFuel,NodeEnthalpy,NodeEstateDesignDiverseFlow,NodeDewPointTemperature,NodeDewPointCalculationStatus,NodeDensity,NodeResultConstraint,NodeCondensateFlow,NodeCompressibility,NodeResultCO2,NodeAveragePressureOverTime,NodeReferencePressure,NodeReferenceFlow,NodeStatusProrate,NodeProfileTemperatureName,NodeProfilePressureName,NodePressureSegmentName,NodePressureMinusReferencePressurePercentage,NodePressureMinusReferencePressure,NodePressure,NodeBoundaryPressureMin,NodeMinimumPressure,NodeBoundaryPressureMax,NodeMaximumPressure,NodeLongitude,NodeLatitude,NodeIsSecondaryPressureUnits,NodeHasProblem,NodeTraceName,NodeFlowMinusReferenceFlowPercentage,NodeFlowMinusReferenceFlow,NodeElevation,NodeDescription,NodeIsConstraintInterchange,NodeCalibrateTargetPressure,NodeBoundaryActive,NodeAssumeWaterVaporSaturation,NodeBoundaryAllowFlowReversal,NodeActiveState,NodeFlowDescriptionByCategory_Base_Volumetric_,NodeFlowDescriptionByCategory_Base_Thermal_,NodeFlowDescriptionByCategory_Q3_Pending_NB___Interruptible_,NodeFlowDescriptionByCategory_Q3_Pending_NB___Firm_,NodeFlowDescriptionByCategory_Q3_Interruptibles_,NodeFlowDescriptionByCategory_Q3_Completed_New_Business_,NodeFlowDescriptionByCategory_Q1_Pending_NB___Interruptible_,NodeFlowDescriptionByCategory_Q1_Pending_NB___Firm_,NodeFlowDescriptionByCategory_Q1_Interruptibles_,NodeFlowDescriptionByCategory_Q1_Completed_New_Business_,NodeFlowProfileNameByCategory_Base_Volumetric_,NodeFlowProfileNameByCategory_Base_Thermal_,NodeFlowProfileNameByCategory_Q3_Pending_NB___Interruptible_,NodeFlowProfileNameByCategory_Q3_Pending_NB___Firm_,NodeFlowProfileNameByCategory_Q3_Interruptibles_,NodeFlowProfileNameByCategory_Q3_Completed_New_Business_,NodeFlowProfileNameByCategory_Q1_Pending_NB___Interruptible_,NodeFlowProfileNameByCategory_Q1_Pending_NB___Firm_,NodeFlowProfileNameByCategory_Q1_Interruptibles_,NodeFlowProfileNameByCategory_Q1_Completed_New_Business_,NodeFlowTypeByCategory_Base_Volumetric_,NodeFlowTypeByCategory_Base_Thermal_,NodeFlowTypeByCategory_Q3_Pending_NB___Interruptible_,NodeFlowTypeByCategory_Q3_Pending_NB___Firm_,NodeFlowTypeByCategory_Q3_Interruptibles_,NodeFlowTypeByCategory_Q3_Completed_New_Business_,NodeFlowTypeByCategory_Q1_Pending_NB___Interruptible_,NodeFlowTypeByCategory_Q1_Pending_NB___Firm_,NodeFlowTypeByCategory_Q1_Interruptibles_,NodeFlowTypeByCategory_Q1_Completed_New_Business_,NodeFlowByCategory_Base_Volumetric_,NodeFlowByCategory_Base_Thermal_,NodeFlowByCategory_Q3_Pending_NB___Interruptible_,NodeFlowByCategory_Q3_Pending_NB___Firm_,NodeFlowByCategory_Q3_Interruptibles_,NodeFlowByCategory_Q3_Completed_New_Business_,NodeFlowByCategory_Q1_Pending_NB___Interruptible_,NodeFlowByCategory_Q1_Pending_NB___Firm_,NodeFlowByCategory_Q1_Interruptibles_,NodeFlowByCategory_Q1_Completed_New_Business_,NodeResultFlow,NodeThermalFlow,NodeComponentPercentByGasName_CO2_,NodeComponentPercentByGasName_N2_,NodeComponentPercentByGasName_C1_,NodeComponentPercentByGasName_C2_,NodeComponentPercentByGasName_C3_,NodeComponentPercentByGasName_C4I_,NodeComponentPercentByGasName_C4N_,NodeComponentPercentByGasName_C5I_,NodeComponentPercentByGasName_C5N_,NodeComponentPercentByGasName_C6N_,NodeComponentPercentByGasName_C7N_,NodeComponentPercentByGasName_C8N_
1311,0BEC4FA9,Nodes,1118033.5,1671847.5,1313.064347,Default Known Flow Node,69.999969,0.579999,1000,0,Known Flow,0,0,2.17E-07,40,0.579999,1000,0,0,13,0,0.515371,0.579999,,,,7.017245,7.017245,,16.800279,,,,,,903.822387,0.066147,0,0,0,,-459.670013,1000,,0,0,,,,0.047023,SETFLOW,0,0.997568,0,,,,,,,,,,7.017245,,0,,0,,,0,0,,,,0,,-1,,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,Volumetric,,,,,,,,,,-0.333881,,,,,,,,,,-0.333881,-0.008013,,,,,,,,,,,,
1312,0BEC4FAA,Nodes,1118081.87,1671859.62,1313.064347,Default Known Flow Node,69.999969,0.579999,1000,0,Known Flow,0,0,2.17E-07,40,0.579999,1000,0,0,13,0,0.515371,0.579999,,,,7.020883,7.020883,,16.800279,,,,,,903.822387,0.066147,0,0,0,,-459.670013,1000,,0,0,,,,0.047023,SETFLOW,0,0.997568,0,,,,,,,,,,7.020883,,0,,0,,,0,0,,,,0,,-1,,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,Volumetric,,,,,,,,,,-0.180708,,,,,,,,,,-0.180708,-0.004337,,,,,,,,,,,,
1313,0BEC4FAB,Nodes,1118164.12,1671881.25,1313.064347,Default Known Flow Node,69.999969,0.579999,1000,0,Known Flow,0,0,2.17E-07,40,0.579999,1000,0,0,13,0,0.515371,0.579999,,,,7.030492,7.030492,,16.800279,,,,,,903.822387,0.066147,0,0,0,,-459.670013,1000,,0,0,,,,0.047024,SETFLOW,0,0.997568,0,,,,,,,,,,7.030492,,0,,0,,,0,0,,,,0,,-1,,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,Volumetric,,,,,,,,,,-0.180708,,,,,,,,,,-0.180708,-0.004337,,,,,,,,,,,,
1314,0BEC4F90,Nodes,1117666.75,1671881.37,1313.064347,Default Known Flow Node,69.999969,0.579999,1000,0,Known Flow,0,0,2.17E-07,40,0.579999,1000,0,0,13,0,0.515371,0.579999,,,,7.014481,7.014481,,16.800279,,,,,,903.822387,0.066147,0,0,0,,-459.670013,1000,,0,0,,,,0.047022,SETFLOW,0,0.997568,0,,,,,,,,,,7.014481,,0,,0,,,0,0,,,,0,,-1,,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,Volumetric,,,,,,,,,,-0.102732,,,,,,,,,,-0.102732,-0.002465,,,,,,,,,,,,
1315,0BEC4FC2,Nodes,1118240,1671900.87,1313.064347,Default Known Flow Node,69.999969,0.579999,1000,0,Known Flow,0,0,2.17E-07,40,0.579999,1000,0,0,13,0,0.515371,0.579999,,,,7.043037,7.043037,,16.800279,,,,,,903.822387,0.066147,0,0,0,,-459.670013,1000,,0,0,,,,0.047026,SETFLOW,0,0.997568,0,,,,,,,,,,7.043037,,0,,0,,,0,0,,,,0,,-1,,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,Volumetric,,,,,,,,,,-0.188881,,,,,,,,,,-0.188881,-0.004533,,,,,,,,,,,,
1317,0BEC4F91,Nodes,1117648.5,1671995.62,1313.064347,Default Known Flow Node,69.999969,0.579999,1000,0,Known Flow,0,0,2.17E-07,40,0.579999,1000,0,0,13,0,0.515371,0.579999,,,,7.015312,7.015312,,16.800279,,,,,,903.822387,0.066147,0,0,0,,-459.670013,1000,,0,0,,,,0.047023,SETFLOW,0,0.997568,0,,,,,,,,,,7.015312,,0,,0,,,0,0,,,,0,,-1,,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,Volumetric,,,,,,,,,,-0.055124,,,,,,,,,,-0.055124,-0.001322,,,,,,,,,,,,
1318,0BEC4F93,Nodes,1117642.75,1672021.37,1313.064347,Default Known Flow Node,69.999969,0.579999,1000,0,Known Flow,0,0,2.17E-07,40,0.579999,1000,0,0,13,0,0.515371,0.579999,,,,7.015576,7.015576,,16.800279,,,,,,903.822387,0.066147,0,0,0,,-459.670013,1000,,0,0,,,,0.047023,SETFLOW,0,0.997568,0,,,,,,,,,,7.015576,,0,,0,,,0,0,,,,0,,-1,,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,Volumetric,,,,,,,,,,-0.440999,,,,,,,,,,-0.440999,-0.010583,,,,,,,,,,,,
1319,0BEC4F92,Nodes,1117648.5,1671996.62,1313.064347,Default Known Flow Node,69.999969,0.579999,1000,0,Known Flow,0,0,2.17E-07,40,0.579999,1000,0,0,13,0,0.515371,0.579999,,,,7.015312,7.015312,,16.800279,,,,,,903.822387,0.066147,0,0,0,,-459.670013,1000,,0,0,,,,0.047023,UNDEFINED,0,0.997568,0,,,,,,,,,,7.015312,,0,,0,,,0,0,,,,0,,-1,,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,Volumetric,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,
1320,0BEC4FAD,Nodes,1117649.12,1672022.62,1313.064347,Default Known Flow Node,69.999969,0.579999,1000,0,Known Flow,0,0,2.17E-07,40,0.579999,1000,0,0,13,0,0.515371,0.579999,,,,7.015568,7.015568,,16.800279,,,,,,903.822387,0.066147,0,0,0,,-459.670013,1000,,0,0,,,,0.047023,SETFLOW,0,0.997568,0,,,,,,,,,,7.015568,,0,,0,,,0,0,,,,0,,-1,,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,Volumetric,,,,,,,,,,-0.157499,,,,,,,,,,-0.157499,-0.003779,,,,,,,,,,,,
1321,0BEC4FAE,Nodes,1117882.25,1672057.25,1313.064347,Default Known Flow Node,69.999969,0.579999,1000,0,Known Flow,0,0,2.17E-07,40,0.579999,1000,0,0,13,0,0.515371,0.579999,,,,7.017534,7.017534,,16.800279,,,,,,903.822387,0.066147,0,0,0,,-459.670013,1000,,0,0,,,,0.047023,SETFLOW,0,0.997568,0,,,,,,,,,,7.017534,,0,,0,,,0,0,,,,0,,-1,,0,0,-1,-1,,,,,,,,,,,,,,,,,,,,,Volumetric,,,,,,,,,,-0.437061,,,,,,,,,,-0.437061,-0.010489,,,,,,,,,,,,
